,Date,Price - USD/LB
485,1964-11-13,0.0328
486,1964-11-16,0.0315
487,1964-11-17,0.0312
488,1964-11-18,0.031
489,1964-11-19,0.0302
490,1964-11-20,0.0301
491,1964-11-23,0.0301
492,1964-11-24,0.031
493,1964-11-25,0.0304
494,1964-11-27,0.03
495,1964-11-30,0.0296
496,1964-12-01,0.029
497,1964-12-02,0.0291
498,1964-12-03,0.0293
499,1964-12-04,0.0291
500,1964-12-07,0.0287
501,1964-12-08,0.0281
502,1964-12-09,0.0277
503,1964-12-10,0.0278
504,1964-12-11,0.0278
505,1964-12-14,0.0274
506,1964-12-15,0.0279
507,1964-12-16,0.0274
508,1964-12-17,0.0271
509,1964-12-18,0.0276
510,1964-12-21,0.0273
511,1964-12-22,0.0265
512,1964-12-23,0.0255
513,1964-12-24,0.0253
514,1964-12-28,0.0247
515,1964-12-29,0.0245
516,1964-12-30,0.0251
517,1964-12-31,0.025
518,1965-01-04,0.0243
519,1965-01-05,0.024
520,1965-01-06,0.0249
521,1965-01-07,0.025
522,1965-01-08,0.0262
523,1965-01-11,0.026
524,1965-01-12,0.0257
525,1965-01-13,0.0252
526,1965-01-14,0.0237
527,1965-01-15,0.0225
528,1965-01-18,0.0225
529,1965-01-19,0.0227
530,1965-01-20,0.0231
531,1965-01-21,0.0234
532,1965-01-22,0.0228
533,1965-01-25,0.0222
534,1965-01-26,0.022
535,1965-01-27,0.0223
536,1965-01-28,0.022
537,1965-01-29,0.0222
538,1965-02-01,0.0219
539,1965-02-02,0.0215
540,1965-02-03,0.0214
541,1965-02-04,0.0208
542,1965-02-05,0.0207
543,1965-02-08,0.0226
544,1965-02-09,0.0219
545,1965-02-10,0.024
546,1965-02-11,0.0232
547,1965-02-15,0.0244
548,1965-02-16,0.0254
549,1965-02-17,0.0255
550,1965-02-18,0.0242
551,1965-02-19,0.0241
552,1965-02-23,0.023
553,1965-02-24,0.023
554,1965-02-25,0.0232
555,1965-02-26,0.0242
556,1965-03-01,0.0242
557,1965-03-02,0.0252
558,1965-03-03,0.0258
559,1965-03-04,0.0258
560,1965-03-05,0.0255
561,1965-03-08,0.0253
562,1965-03-09,0.0261
563,1965-03-10,0.027
564,1965-03-11,0.027
