Date,Settle
1992-12-17,2.08
1992-12-18,2.07
1992-12-21,2.085
1992-12-22,2.081
1992-12-23,2.1
1992-12-28,2.06
1992-12-29,2.075
1992-12-30,2.083
1992-12-31,2.094
1993-01-04,2.026
1993-01-05,2.04
1993-01-06,2.038
1993-01-07,2.042
1993-01-08,2.07
1993-01-11,2.065
1993-01-12,2.074
1993-01-13,2.072
1993-01-14,2.089
1993-01-15,2.101
1993-01-18,2.119
1993-01-19,2.115
1993-01-20,2.159
1993-01-21,2.167
1993-01-22,2.162
1993-01-25,1.888
1993-01-26,1.89
1993-01-27,1.89
1993-01-28,1.91
1993-01-29,1.91
1993-02-01,1.935
1993-02-02,1.93
1993-02-03,1.93
1993-02-04,1.945
1993-02-05,1.962
1993-02-08,1.99
1993-02-09,1.965
1993-02-10,1.973
1993-02-11,2.01
1993-02-12,1.995
1993-02-16,2.02
1993-02-17,1.995
1993-02-18,1.995
1993-02-19,1.976
1993-02-22,1.835
1993-02-23,1.82
1993-02-24,1.82
1993-02-25,1.824
1993-02-26,1.785
1993-03-02,1.785
1993-03-03,1.8
1993-03-04,1.82
1993-03-05,1.815
1993-03-08,1.825
1993-03-09,1.835
1993-03-10,1.826
1993-03-11,1.83
1993-03-12,1.825
1993-03-15,1.824
1993-03-16,1.815
1993-03-17,1.84
1993-03-18,1.834
1993-03-19,1.83
1993-03-22,1.795
1993-03-23,1.795
1993-03-24,1.82
1993-03-25,1.83
1993-03-26,1.83
1993-03-29,1.835
1993-03-30,1.845
1993-03-31,1.87
1993-04-01,1.851
1993-04-02,1.87
1993-04-05,1.89
1993-04-06,1.93
1993-04-07,1.97
1993-04-08,2.0
1993-04-12,2.09
1993-04-13,2.152
1993-04-14,2.19
1993-04-15,2.2
1993-04-16,2.175
1993-04-19,2.175
1993-04-20,2.165
1993-04-21,2.2
1993-04-22,2.24
1993-04-23,2.24
1993-04-26,2.155
1993-04-27,2.138
1993-04-28,2.135
1993-04-29,2.12
1993-04-30,2.12
1993-05-03,2.105
1993-05-04,2.105
1993-05-05,2.115
1993-05-06,2.09
1993-05-07,2.09
1993-05-10,2.055
1993-05-11,2.05
1993-05-12,2.065
1993-05-13,2.071
1993-05-14,2.085
1993-05-17,2.09
1993-05-18,2.095
1993-05-19,2.06
1993-05-20,2.047
1993-05-21,2.01
1993-05-24,1.985
1993-05-25,2.035
1993-05-26,2.06
1993-05-27,2.09
1993-05-28,2.09
1993-06-01,2.12
1993-06-02,2.12
1993-06-03,2.12
1993-06-04,2.13
1993-06-07,2.125
1993-06-08,2.15
1993-06-09,2.16
1993-06-10,2.155
1993-06-11,2.165
1993-06-14,2.175
1993-06-15,2.172
1993-06-16,2.18
1993-06-17,2.192
1993-06-18,2.195
1993-06-21,2.215
1993-06-22,2.193
1993-06-23,2.197
1993-06-24,2.231
1993-06-25,2.221
1993-06-28,2.275
1993-06-29,2.305
1993-06-30,2.296
1993-07-01,2.214
1993-07-02,2.182
1993-07-06,2.196
1993-07-07,2.205
1993-07-08,2.17
1993-07-09,2.21
1993-07-12,2.174
1993-07-13,2.18
1993-07-14,2.155
1993-07-15,2.157
1993-07-16,2.186
1993-07-19,2.18
1993-07-20,2.168
1993-07-21,2.212
1993-07-22,2.2
1993-07-23,2.197
1993-07-26,2.22
1993-07-27,2.195
1993-07-28,2.176
1993-07-29,2.193
1993-07-30,2.218
1993-08-02,2.2
1993-08-03,2.183
1993-08-04,2.193
1993-08-05,2.21
1993-08-06,2.2
1993-08-09,2.195
1993-08-10,2.225
1993-08-11,2.215
1993-08-12,2.237
1993-08-13,2.221
1993-08-16,2.256
1993-08-17,2.241
1993-08-18,2.235
1993-08-19,2.249
1993-08-20,2.243
1993-08-23,2.243
1993-08-24,2.238
1993-08-25,2.271
1993-08-26,2.281
1993-08-27,2.277
1993-08-30,2.262
1993-08-31,2.254
1993-09-02,2.272
1993-09-03,2.263
1993-09-07,2.218
1993-09-08,2.232
1993-09-09,2.245
1993-09-10,2.24
1993-09-13,2.255
1993-09-14,2.247
1993-09-15,2.22
1993-09-16,2.195
1993-09-17,2.23
1993-09-20,2.255
1993-09-21,2.213
1993-09-22,2.226
1993-09-23,2.217
1993-09-24,2.323
1993-09-27,2.315
1993-09-28,2.32
1993-09-29,2.305
1993-09-30,2.269
1993-10-01,2.283
1993-10-04,2.272
1993-10-05,2.273
1993-10-06,2.271
1993-10-07,2.245
1993-10-08,2.26
1993-10-11,2.278
1993-10-12,2.262
1993-10-13,2.265
1993-10-14,2.245
1993-10-15,2.249
1993-10-18,2.235
1993-10-19,2.252
1993-10-20,2.235
1993-10-21,2.253
1993-10-22,2.274
1993-10-25,2.348
1993-10-26,2.327
1993-10-27,2.345
1993-10-28,2.339
1993-10-29,2.322
1993-11-01,2.338
1993-11-02,2.328
1993-11-03,2.33
1993-11-04,2.337
1993-11-05,2.347
1993-11-08,2.345
1993-11-09,2.343
1993-11-10,2.322
1993-11-11,2.305
1993-11-12,2.295
1993-11-15,2.294
1993-11-16,2.297
1993-11-17,2.314
1993-11-18,2.312
1993-11-19,2.312
1993-11-22,2.333
1993-11-23,2.439
1993-11-24,2.415
1993-11-29,2.385
1993-11-30,2.378
1993-12-01,2.365
1993-12-02,2.339
1993-12-03,2.366
1993-12-06,2.33
1993-12-07,2.308
1993-12-08,2.27
1993-12-09,2.256
1993-12-10,2.254
1993-12-13,2.237
1993-12-14,2.277
1993-12-15,2.247
1993-12-16,2.245
1993-12-17,2.235
1993-12-20,2.27
1993-12-21,2.245
1993-12-22,2.292
1993-12-23,2.278
1993-12-27,2.323
1993-12-28,2.33
1993-12-29,2.308
1993-12-30,2.281
1994-01-03,2.27
1994-01-04,2.282
1994-01-05,2.327
1994-01-06,2.31
1994-01-07,2.325
1994-01-10,2.321
1994-01-11,2.332
1994-01-12,2.335
1994-01-13,2.3
1994-01-14,2.317
1994-01-17,2.292
1994-01-18,2.281
1994-01-19,2.277
1994-01-20,2.295
1994-01-21,2.337
1994-01-24,2.377
1994-01-25,2.209
1994-01-26,2.229
1994-01-27,2.208
1994-01-28,2.216
1994-01-31,2.212
1994-02-01,2.225
1994-02-02,2.227
1994-02-03,2.23
1994-02-04,2.25
1994-02-07,2.27
1994-02-08,2.287
1994-02-09,2.302
1994-02-10,2.295
1994-02-11,2.313
1994-02-14,2.282
1994-02-15,2.272
1994-02-16,2.282
1994-02-17,2.27
1994-02-18,2.265
1994-02-22,2.187
1994-02-23,2.172
1994-02-24,2.18
1994-02-25,2.193
1994-02-28,2.174
1994-03-01,2.165
1994-03-02,2.145
1994-03-03,2.138
1994-03-04,2.136
1994-03-07,2.14
1994-03-08,2.155
1994-03-09,2.177
1994-03-10,2.185
1994-03-11,2.175
1994-03-14,2.176
1994-03-15,2.193
1994-03-16,2.219
1994-03-17,2.195
1994-03-18,2.18
1994-03-21,2.18
1994-03-22,2.207
1994-03-23,2.19
1994-03-24,2.185
1994-03-25,2.158
1994-03-28,2.156
1994-03-29,2.149
1994-03-30,2.138
1994-03-31,2.124
1994-04-04,2.133
1994-04-05,2.121
1994-04-06,2.137
1994-04-07,2.121
1994-04-08,2.118
1994-04-11,2.122
1994-04-12,2.115
1994-04-13,2.13
1994-04-14,2.13
1994-04-15,2.137
1994-04-18,2.13
1994-04-19,2.129
1994-04-20,2.134
1994-04-21,2.137
1994-04-22,2.13
1994-04-25,2.141
1994-04-26,2.134
1994-04-28,2.13
1994-04-29,2.13
1994-05-02,2.1
1994-05-03,2.094
1994-05-04,2.094
1994-05-05,2.117
1994-05-06,2.118
1994-05-09,2.114
1994-05-10,2.118
1994-05-11,2.104
1994-05-12,2.111
1994-05-13,2.098
1994-05-16,2.091
1994-05-17,2.11
1994-05-18,2.107
1994-05-19,2.109
1994-05-20,2.095
1994-05-23,2.09
1994-05-24,2.077
1994-05-25,2.064
1994-05-26,2.081
1994-05-27,2.09
1994-05-31,2.1
1994-06-01,2.101
1994-06-02,2.128
1994-06-03,2.127
1994-06-06,2.13
1994-06-07,2.129
1994-06-08,2.149
1994-06-09,2.137
1994-06-10,2.149
1994-06-13,2.136
1994-06-14,2.127
1994-06-15,2.152
1994-06-16,2.142
1994-06-17,2.134
1994-06-20,2.14
1994-06-21,2.122
1994-06-22,2.123
1994-06-23,2.115
1994-06-24,2.133
1994-06-27,2.131
1994-06-28,2.136
1994-06-29,2.13
1994-06-30,2.116
1994-07-01,2.122
1994-07-05,2.104
1994-07-06,2.109
1994-07-07,2.093
1994-07-08,2.085
1994-07-11,2.089
1994-07-12,2.091
1994-07-13,2.085
1994-07-14,2.09
1994-07-15,2.098
1994-07-18,2.093
1994-07-19,2.1
1994-07-20,2.084
1994-07-21,2.068
1994-07-22,2.068
1994-07-25,2.065
1994-07-26,2.071
1994-07-27,2.065
1994-07-28,2.077
1994-07-29,2.077
1994-08-01,2.084
1994-08-02,2.066
1994-08-03,2.054
1994-08-04,2.07
1994-08-05,2.087
1994-08-08,2.065
1994-08-09,2.083
1994-08-10,2.094
1994-08-11,2.071
1994-08-12,2.06
1994-08-15,2.05
1994-08-16,2.06
1994-08-17,2.065
1994-08-18,2.052
1994-08-19,2.063
1994-08-22,2.062
1994-08-23,2.05
1994-08-24,2.063
1994-08-25,2.068
1994-08-26,2.058
1994-08-29,2.058
1994-08-30,2.038
1994-08-31,2.016
1994-09-01,2.013
1994-09-02,2.0
1994-09-06,2.008
1994-09-07,2.025
1994-09-08,2.03
1994-09-09,2.029
1994-09-12,2.027
1994-09-13,2.008
1994-09-14,2.012
1994-09-15,1.99
1994-09-16,1.992
1994-09-19,2.001
1994-09-20,1.992
1994-09-21,1.985
1994-09-22,1.994
1994-09-23,1.97
1994-09-26,2.003
1994-09-27,1.997
1994-09-28,1.991
1994-09-29,1.986
1994-09-30,1.978
1994-10-03,1.981
1994-10-04,1.994
1994-10-05,1.986
1994-10-06,1.999
1994-10-07,1.997
1994-10-10,2.023
1994-10-11,2.036
1994-10-12,2.038
1994-10-13,2.03
1994-10-14,2.039
1994-10-17,2.052
1994-10-18,2.02
1994-10-19,1.994
1994-10-20,1.964
1994-10-21,1.976
1994-10-24,1.97
1994-10-25,2.063
1994-10-26,2.093
1994-10-27,2.074
1994-10-28,2.067
1994-10-31,2.053
1994-11-01,2.051
1994-11-02,2.043
1994-11-03,2.036
